,Channel,Compound,Negative,Neutral,Positive,Text,Time
63,BBC,0.0,0.0,1.0,0.0,Go behind-the-scenes at @TheBigCatSanct where expert Giles Clark is hand-rearing a jaguar cub. 🐾… https://t.co/0hDQP6X1wA,10.211944444444445
64,BBC,0.0516,0.159,0.625,0.216,"Tai chi has been recommended to help people with the chronic pain condition fibromyalgia. 

https://t.co/uYDlKfWbt7 https://t.co/Y7P9ceP82j",10.777222222222223
65,BBC,-0.25,0.083,0.917,0.0,"The cost of living alone, rather than living as a couple, is more than £1000 a year. 💔🏠

This is the price of being… https://t.co/udzI9xGci6",11.72861111111111
66,BBC,0.0,0.0,1.0,0.0,.@ManUtd have applied to have a professional women's team. ⚽️ https://t.co/rxzdRsDhUd https://t.co/meO65NRCtm,12.214722222222223
67,BBC,0.128,0.092,0.795,0.113,"Worried about your impact on the planet? 🌍💚

This is how to make your next holiday more eco-friendly. ♻️🌴

👉… https://t.co/wCmDZJledV",12.228333333333333
68,BBC,-0.4753,0.128,0.872,0.0,"Think twice before you throw your kitchen waste in the bin! Here's how to grow plants from kitchen scraps. 🥕🥔🍎

👉… https://t.co/MMgrC8yseG",13.211388888888889
69,BBC,0.4184,0.0,0.859,0.141,"RT @mixital: 🗡️New #DoctorWho writing challenge!🗡️
Write a story featuring Rory Williams! Share it with us here: https://t.co/zW42ZnvJnc

#…",14.267777777777777
70,BBC,-0.9168,0.385,0.615,0.0,"Could you name the disaster that killed the most people in the last 100 years?

Contagion! The BBC Four Pandemic |… https://t.co/10zHfD8PHT",14.279444444444444
71,BBC,0.6705,0.1,0.594,0.306,"🎶Some musicians love doing them, others don’t.

Seven secretive musicians who like to avoid interviews:… https://t.co/7Rm55Ddynj",14.776944444444444
72,BBC,0.4215,0.0,0.882,0.118,"RT @BBCEarth: Today is #WorldWaterDay. This teen has an ingenious way to test the safety of water around the world 
@BBC_Future https://t.c…",15.383055555555556
73,BBC,-0.4767,0.129,0.871,0.0,"Has @chrishughes_22 read any of his own book? 😂🤦

Here's what he confessed when he took on @BBCR1's fake lie detect… https://t.co/tVaKesbKQ1",15.72861111111111
74,BBC,0.0,0.0,1.0,0.0,Secret Universe: The Hidden Life of the Cell is on @BBCFOUR tonight at 8pm. 🔬 https://t.co/PVf4thZOb3,16.04277777777778
